snapnum subfindid redshift total_quant_match mstar mgas msub mbh mbar sfr bhar x_pix y_pix total_quant photutils_label photutils_xcen photutils_ycen segment_flux sm_flag sm_flag_sersic sm_flag_catastrophic sm_gini sm_m20 sm_bulge sm_merger sm_sn_per_pixel sm_c sm_a sm_rhalf_e sm_rpetro_e sm_flux_e sm_xc_cen sm_yc_cen sm_sersic_n sm_sersic_rhalf sm_shape_asym sm_m sm_i sm_d sm_label
        65       7506      0.56597716 2601.23022461   1.9194e+08   1.7964e+09   2.3383e+09          0.0   1.9884e+09   1.38510000   0.00000000 21570.686184 5529.791822 210198688.00000000      49547 21556.004205 5533.531492 2084093781.20689225          0          0          0   0.531455  -0.694316  -0.848137   0.102630 1085.823332   1.591508   0.844748  43.895907  83.529513 2376540152.107807 184.213856 137.002138   1.997095 171.484585   0.537523   0.091837   0.033501   0.444457      49547
        65       7373      0.56598055 16444.95117188   3.3393e+09   6.4962e+08    5.595e+09          0.0    3.989e+09   2.87420000   0.00000000 21838.166717 5585.831573 3988064256.00000000      49560 21850.024484 5595.476951 8144122580.90526009          1          1          0   0.794440  -1.177122   0.788224   0.295876   0.110034   0.684678 -82.520912 140.554950 186.989648 140656885279.075287 351.026176 294.486816   1.000000 140.554950   1.999943   0.000000   0.000000   0.159690      49560
        65       7283      0.56613094 9522.83496094   3.6028e+09   3.7435e+09   1.4231e+11   1.3661e+07     7.36e+09   0.74220000   0.00012350 21621.206282 5693.112057 4882405376.00000000      49568 21611.112172 5694.257450 8818480609.90249062          0          1          0   0.759503  -0.605814   0.219367   0.340699 1483.519681   3.917169   0.602089  89.646096 110.187798 9992354149.511635 324.333770 284.141925  10.398208 6219.250523   0.668246   0.093143   0.107802   0.147172      49568
        65       7332      0.56597143 7661.64453125   5.1435e+09          0.0    1.849e+10    2.719e+07   5.1707e+09   0.00000000   0.00000000 21977.967007 5755.751708 6342490624.00000000      49571 21979.677870 5756.886398 8489935954.11186600          1          0          0   0.609439  -1.726342   0.253077   0.036383  19.576045   3.653980   0.113652  12.573998  27.116816 7987707174.710739 261.962868 236.062382   1.161536   6.716703   0.505227   0.214552   0.132956   0.117487      49571
        65       7600      0.56597161 1014.66003418   8.3126e+08          0.0   9.3748e+08          0.0   8.3126e+08   0.00000000   0.00000000 21843.446727 5816.831997 937515968.00000000      49573 21843.748879 5817.027967 1045224092.47655559          0          0          0   0.454677  -1.463815  -0.694924  -0.080340 6087.784041   2.356595   0.037854   3.520631   6.503632 955535135.677297  62.774806  76.878631   0.932716   3.108052   0.413825   0.000000   0.000000   0.107516      49573
        65     475003      0.56314278 11064.09960938   2.4793e+09   4.9885e+09   2.1763e+11    2792600.0   7.4705e+09   2.97390000   0.00017980 21604.646250 5833.752331 3134154496.00000000      49574 21593.874921 5837.287058 4723652597.38005066          1          1          0   0.666065  -1.149633   0.133715   0.172605 1013.427124   4.497733   0.730488  93.404312  99.760203 4768243297.890216 396.015837 337.187186   3.500000  93.404312   1.042587   0.069347   0.208691   0.244770      49574
        24      72324      3.19741511 1735.91430664   1.0978e+10   1.7219e+09   5.1752e+11   4.1355e+07   1.2742e+10   7.13260000   0.02602600 21420.445897 5976.912806 13794214912.00000000      49579 21421.842417 5976.333124 13472647305.74942780          1          0          0   0.451280  -1.590806  -0.623736  -0.101355 22884.643919   2.438755   0.058877   3.111032   5.865974 12477424341.154873 143.980432 128.779556   0.716391   3.203569   0.122266   0.000000   0.000000   0.055071      49579
        20       4853      4.06549263 1835.41540527   1.4074e+10   5.9785e+09   2.9314e+11    4.141e+07   2.0094e+10  41.49890000   0.00992760 22394.847922 5980.511583 17792022528.00000000      49580 22399.445935 5978.390044 17951244138.46646881          1          0          0   0.663680  -1.674614   0.485723   0.097272 10744.848816   2.570400   0.082911   8.173933  15.570302 16300261158.772432 170.158231 114.155006   0.720661   4.046821   0.704052   0.000000   0.000000   0.063295      49580
        62      52184      0.64999431 4627.72949219   1.1825e+09    5.105e+08   2.1258e+09          0.0    1.693e+09   0.88810000   0.00000000 22350.327821 6039.911754 1368247936.00000000      49581 22350.636337 6038.078964 2222652400.17514896          0          1          0   0.565248  -1.604698  -0.049965   0.009543 6731.069542   2.426254   0.368684  16.042677  11.879088 1792456963.068397  89.683613 115.037360  21.621588 631.828211   0.692083   0.000000   0.000000   0.084714      49581
        68     480589      0.50634962 14337.27343750   4.5806e+09   3.7749e+09   4.0208e+11   1.7659e+07   8.3732e+09   1.45480000   0.00038703 21757.766553 6198.072780 6030893568.00000000      49594 21757.319962 6200.319205 6948231147.81848240          1          1          0   0.597283  -2.257338   0.560885  -0.049460 271.403301   4.200574   0.109148  38.670692  44.212064 6114073631.177020 242.782826 334.568469   3.500000  38.670692   0.841374   0.000000   0.000000   0.029026      49594
        36     234136      1.79859304 2900.55859375   9.1225e+09   4.0456e+09   4.3938e+11   4.9908e+07   1.3218e+10   4.02060000   0.00478940 21815.006669 6167.952659 11902448640.00000000      49595 21815.373492 6167.492975 11608005206.84026146          1          0          0   0.541592  -1.865720   0.013824  -0.050159 1898.162720   3.285362   0.060063   7.898195  16.518964 11258931697.471363  80.201869 151.606042   1.051155   5.805482   0.522941   0.000000   0.000000   0.012403      49595
        59     385612      0.72736156 17137.59570312    1.132e+10   1.2825e+09   6.3245e+11   6.8507e+07   1.2671e+10   1.14700000   0.00109450 21958.646966 6191.112525 14496336896.00000000      49600 21959.746775 6193.986577 16298466308.36315155          1          0          0   0.506433  -1.743445  -0.244951  -0.067971 1718.106244   2.795979   0.045131   9.337599  16.481883 13372651759.670742 350.959673 363.332860   0.822188   5.641472   0.737807   0.000000   0.000000   0.028589      49600
        65     564001      0.56940895 3645.55395508   1.2351e+09   9.0426e+08   1.3903e+11    3685500.0    2.143e+09   0.28190000   0.00012500 22069.407201 6193.992394 1550288128.00000000      49601 22068.870014 6193.056112 1597539932.53001070          1          0          0   0.548146  -1.767450  -0.021834  -0.030011  90.643178   3.140650   0.041837  12.167088  22.379632 1510199215.590912 146.774935 156.559411   0.940022  10.063415   0.444375   0.000000   0.000000   0.035338      49601
        62      52222      0.64999133 752.50018311   5.3786e+08          0.0   3.5298e+09          0.0   5.3786e+08   0.00000000   0.00000000 22573.408338 6214.991795 611572416.00000000      49605 22584.322805 6204.645218 1027521441.06284714          1          0          0   0.523736  -0.900157  -0.743698   0.066377  26.065876   2.380909   0.308522  43.201715  78.465477 1297054017.622360 168.311271 151.102497   0.328583  37.553737   0.609637   0.791960   0.734768   0.402242      49605
        41     326847      1.47730029 3048.66870117   6.2082e+09      4.4e+09   3.7305e+11   2.0376e+07   1.0629e+10   2.85250000   0.00178950 21929.006904 6292.032737 7965854208.00000000      49608 21928.493761 6291.440553 7615279168.94866753          1          0          0   0.566267  -1.924244   0.176522  -0.033866 1003.036303   3.450159   0.134630   8.781222  18.422444 7290959643.029284 148.674834 155.390931   1.229281   8.981998   0.414100   0.000000   0.000000   0.012017      49608
        59     385613      0.72735476 3298.83129883   2.0789e+09   2.2341e+09    3.536e+10    4352500.0   4.3174e+09   0.97590000   0.00014648 21782.366603 6301.992929 2585174784.00000000      49609 21781.581621 6303.099528 2874094359.14681196          1          1          0   0.569945  -1.971922   0.227772  -0.036851 2190.842610   3.285593   0.177075  17.453017  32.065399 2858538025.301165 155.716171 164.674602   2.033051  17.453017   0.639554   0.000000   0.000000   0.009354      49609
        65       7478      0.56594068 4576.59277344   1.5302e+09          0.0   1.8322e+09          0.0   1.5302e+09   0.00000000   0.00000000 21988.167028 6315.912708 1831894784.00000000      49610 21988.090334 6315.424486 2055063506.53740621          0          0          0   0.528711  -1.760713  -0.122707  -0.048315 9094.334685   2.335639   0.050863   5.585009   8.605017 1795617831.454109 125.228471  71.528881   0.890373   2.260448   1.200212   0.000000   0.000000   0.145056      49610
        62      52106      0.65021479 9471.68359375    4.333e+09   7.9416e+08   1.1719e+11   1.8339e+07   5.1455e+09   0.22980000   0.00046133 21634.406308 6323.833138 6097110528.00000000      49611 21635.555218 6324.780789 8135365514.60525036          1          1          0   0.649582  -1.762646   0.476944   0.071078   3.823004   4.181544   0.139028  44.592199  52.575242 8042910001.695607 263.115346 283.520546   3.500000  44.592199   0.406014   0.388535   0.243469   0.156702      49611
