snapnum subfindid redshift total_quant_match mstar mgas msub mbh mbar sfr bhar x_pix y_pix total_quant photutils_label photutils_xcen photutils_ycen segment_flux sm_flag sm_flag_sersic sm_flag_catastrophic sm_gini sm_m20 sm_bulge sm_merger sm_sn_per_pixel sm_c sm_a sm_rhalf_e sm_rpetro_e sm_flux_e sm_xc_cen sm_yc_cen sm_sersic_n sm_sersic_rhalf sm_shape_asym sm_m sm_i sm_d sm_label
        65       7506      0.56597716 2601.23022461   1.9194e+08   1.7964e+09   2.3383e+09          0.0   1.9884e+09   1.38510000   0.00000000 21570.686184 5529.791822 3214.63964844      49547 21556.004205 5533.531492 4116.62021849          0          0          0   0.556815  -1.440898  -0.205223   0.023962   4.028418   2.436699   0.332849  13.823370  22.890917 3566.765059 207.739664 134.220062   0.897980   4.345402   0.782216   0.125000   0.440769   0.193918      49547
        65       7373      0.56598055 16444.95117188   3.3393e+09   6.4962e+08    5.595e+09          0.0    3.989e+09   2.87420000   0.00000000 21838.166717 5585.831573 14854.17773438      49560 21850.024484 5595.476951 16898.55151998          1          1          0   0.744514  -0.411221   0.010321   0.352909   0.198874   1.316453 -157002782635418989807184932042178560.000000 257.861421 122.595754 32599.219940 332.918675 279.134302   1.000000 257.861421   0.879929   0.000000   0.000000   0.168891      49560
        65       7283      0.56613094 9522.83496094   3.6028e+09   3.7435e+09   1.4231e+11   1.3661e+07     7.36e+09   0.74220000   0.00012350 21621.206282 5693.112057 5365.14306641      49568 21611.112172 5694.257450 6915.96558408          1          1          0   0.707223  -0.994629   0.230030   0.234897   3.832227   3.503957   0.471593  70.042271  63.228492 6771.162079 327.311943 281.457773   2.546571  70.042271   0.745907   0.027978   0.358222   0.088092      49568
        65       7332      0.56597143 7661.64453125   5.1435e+09          0.0    1.849e+10    2.719e+07   5.1707e+09   0.00000000   0.00000000 21977.967007 5755.751708 2600.58447266      49571 21979.677870 5756.886398 3312.87046495          1          0          0   0.549218  -1.895391   0.072134  -0.046734   2.643904   3.311268  -0.021947  13.232637  21.156763 2869.082230 262.175185 234.750140   2.052422  11.238966   0.688497   0.068653   0.025067   0.053917      49571
        65       7600      0.56597161 1014.66003418   8.3126e+08          0.0   9.3748e+08          0.0   8.3126e+08   0.00000000   0.00000000 21843.446727 5816.831997 310.79440308      49573 21843.748879 5817.027967 385.28197241          0          0          0   0.452332  -1.490346  -0.688147  -0.086349   3.463176   2.401953   0.038746   3.992143   6.824563 328.443306  62.713974  77.420058   1.234565   3.379663   0.404794   0.000000   0.000000   0.107317      49573
        65     475003      0.56314278 11064.09960938   2.4793e+09   4.9885e+09   2.1763e+11    2792600.0   7.4705e+09   2.97390000   0.00017980 21604.646250 5833.752331 10279.84765625      49574 21593.874921 5837.287058 9686.03487598          0          0          0   0.639282  -1.707371   0.387654   0.068564   2.649113   3.174719   0.571486  24.006289  49.373225 9303.034659 412.910614 330.588903   1.516026  14.541618   0.717968   0.094799   0.228402   0.055397      49574
        24      72324      3.19741511 1735.91430664   1.0978e+10   1.7219e+09   5.1752e+11   4.1355e+07   1.2742e+10   7.13260000   0.02602600 21420.445897 5976.912806 1085.63610840      49579 21421.842417 5976.333124 1133.05732274          1          1          0   0.541691  -1.727525  -0.081453  -0.030851   2.776546   3.505933   0.469138   6.875716  13.642855 1060.387166 145.361310 128.765075   2.551601   6.875716   0.589000   0.072581   0.281311   0.074775      49579
        20       4853      4.06549263 1835.41540527   1.4074e+10   5.9785e+09   2.9314e+11    4.141e+07   2.0094e+10  41.49890000   0.00992760 22394.847922 5980.511583 1684.07604980      49580 22399.445935 5978.390044 1835.07358168          0          0          0   0.625999  -1.390130   0.102057   0.099511   5.789021   2.289623   0.101528   9.655636  12.833947 1589.578534 171.305617 113.912728   0.510177   3.805599   0.579741   0.000000   0.000000   0.198709      49580
        62      52184      0.64999431 4627.72949219   1.1825e+09    5.105e+08   2.1258e+09          0.0    1.693e+09   0.88810000   0.00000000 22350.327821 6039.911754 4153.19140625      49581 22350.636337 6038.078964 4694.53651375          0          0          0   0.509679  -1.627487  -0.309239  -0.048638  13.435320   2.310803   0.099133   4.589902   7.703376 4323.603951  87.326749 119.734085   0.765686   2.131758   0.741254   0.000000   0.000000   0.073281      49581
        68     480589      0.50634962 14337.27343750   4.5806e+09   3.7749e+09   4.0208e+11   1.7659e+07   8.3732e+09   1.45480000   0.00038703 21757.766553 6198.072780 9308.80468750      49594 21757.319962 6200.319205 9492.02208968          1          0          0   0.587562  -2.105748   0.407714  -0.038013   3.436099   3.689364   0.197596  21.845437  40.808358 9030.356738 242.161867 329.243655   1.606452  20.297494   0.781818   0.198630   0.394750   0.005689      49594
        36     234136      1.79859304 2900.55859375   9.1225e+09   4.0456e+09   4.3938e+11   4.9908e+07   1.3218e+10   4.02060000   0.00478940 21815.006669 6167.952659 973.22180176      49595 21815.373492 6167.492975 1065.53137039          0          0          0   0.602327  -1.586691   0.121098   0.048754   2.632777   3.992662   0.355658  10.361461  18.291912 1013.699715  80.421973 151.032557   1.693747   8.493271   0.439832   0.363636   0.166122   0.151865      49595
        59     385612      0.72736156 17137.59570312    1.132e+10   1.2825e+09   6.3245e+11   6.8507e+07   1.2671e+10   1.14700000   0.00109450 21958.646966 6191.112525 9532.34863281      49600 21959.746775 6193.986577 9855.47882117          0          0          0   0.613203  -1.836221   0.347857   0.024837   4.938941   3.640948   0.177455  10.202840  22.563796 8710.667421 351.247725 359.944641   1.883817   8.087663   0.861739   0.129921   0.026724   0.094898      49600
        65     564001      0.56940895 3645.55395508   1.2351e+09   9.0426e+08   1.3903e+11    3685500.0    2.143e+09   0.28190000   0.00012500 22069.407201 6193.992394 2278.09082031      49601 22068.870014 6193.056112 2319.75251335          0          0          0   0.532922  -1.380541  -0.365323   0.008697   3.224490   2.823397   0.154369  10.006502  20.115807 2207.500990 146.832556 157.280122   1.142380  10.726653   0.441263   0.857143   0.702493   0.086027      49601
        62      52222      0.64999133 752.50018311   5.3786e+08          0.0   3.5298e+09          0.0   5.3786e+08   0.00000000   0.00000000 22573.408338 6214.991795 288.76269531      49605 22584.322805 6204.645218 491.63954836          0          0          0   0.533914  -0.949266  -0.659284   0.069627   0.509582   2.275897  -0.035710  34.854617  80.068841 613.523850 166.008522 152.686865   2.082657  36.504315   0.576018   0.707071   0.801570   0.351815      49605
        41     326847      1.47730029 3048.66870117   6.2082e+09      4.4e+09   3.7305e+11   2.0376e+07   1.0629e+10   2.85250000   0.00178950 21929.006904 6292.032737 1243.54223633      49608 21928.493761 6291.440553 1293.39091647          1          1          0   0.635170  -1.991997   0.564544   0.024931   2.106386   3.657668   0.397292  11.407555  16.482416 1132.163252 148.038047 153.318259   2.959476  11.407555   0.727796   0.057895   0.043137   0.019149      49608
        59     385613      0.72735476 3298.83129883   2.0789e+09   2.2341e+09    3.536e+10    4352500.0   4.3174e+09   0.97590000   0.00014648 21782.366603 6301.992929 2070.54638672      49609 21781.581621 6303.099528 2174.64514612          0          0          0   0.548543  -1.769752  -0.018272  -0.029938   2.733949   2.879024   0.297723   9.098768  18.107410 2069.266435 155.535013 159.440094   1.261123   6.634527   0.810725   0.002315   0.000000   0.062389      49609
        65       7478      0.56594068 4576.59277344   1.5302e+09          0.0   1.8322e+09          0.0   1.5302e+09   0.00000000   0.00000000 21988.167028 6315.912708 1870.04907227      49610 21988.090334 6315.424486 1949.70336307          0          0          0   0.470664  -1.718598  -0.439223  -0.099927  10.267333   2.339793   0.045349   3.158243   6.130325 1829.363798 127.102172  71.378813   0.887422   2.279433   0.319814   0.000000   0.000000   0.145154      49610
        62      52106      0.65021479 9471.68359375    4.333e+09   7.9416e+08   1.1719e+11   1.8339e+07   5.1455e+09   0.22980000   0.00046133 21634.406308 6323.833138 4492.91113281      49611 21635.555218 6324.780789 5300.37598237          1          1          0   0.578050  -1.889138   0.210521  -0.017321   5.931855   3.076284   0.082835 121.324860  13.197684 3807.613406 254.339042 281.876835   1.614702 121.324860   1.552715   0.000000   0.000000   0.129019      49611
        29     479468      2.45023942  16.67466736   3.9084e+07   3.6746e+08   2.2802e+10          0.0   4.0654e+08   0.13570000   0.00000000 19210.762645 4905.193581  19.30210686      49613 19209.895849 4904.309656  24.21111245          1          1          0   0.387960  -1.570411  -0.951301  -0.161206   0.635378   2.233528  -0.094271   6.707400   9.175399  27.650937  27.540681  27.853343   1.000000   6.707400   1.274878   0.047619   0.000000   0.071118      49613
        30     311209      2.34906769 251.36682129   8.5339e+08   1.2013e+09   1.3193e+11    2230800.0    2.057e+09   1.01420000   0.00022763 9011.719812 4908.916818 140.51715088      49620 9011.820983 4908.694379 135.10209397          0          0          0   0.615293  -1.499892   0.125123   0.073655   1.033721   3.583258   0.490062   7.201820  16.774644 148.023106  37.255274  50.790939   0.990166   4.935370   0.700174   0.344828   0.418005   0.301105      49620
        27     140218      2.83701468 453.46029663   1.2875e+09   1.9316e+09   3.6851e+11    2033900.0   3.2211e+09   1.27380000   0.00017192 9034.039816 4941.556865 332.52767944      49621 9035.431276 4942.760789 237.24338859          0          0          0   0.625910  -1.777921   0.370352   0.045519   0.759151   2.833294   0.214391  11.631668  31.594644 276.122138  84.785121  55.513971   2.050880   8.162337   0.537429   0.273148   0.187426   0.143752      49621
        22      55478      3.84737611 908.59313965   3.5983e+09   6.9491e+09   4.3626e+11    3747500.0   1.0551e+10  13.43760000   0.00102220 17810.961384 4915.034962 699.16058350      49623 17810.131936 4916.316065 628.02034054          0          0          0   0.447641  -1.711184  -0.558328  -0.121690   2.371489   2.630348   0.335355   7.744412  15.070343 633.573855  52.253089  68.233112   0.682523   6.706503   0.432843   0.084071   0.062750   0.099423      49623
        31     172435      2.22626281  60.01752090   2.7195e+08   4.9759e+08   5.8654e+10    1344100.0   7.7088e+08   0.19780000   0.00003054 17844.081408 4914.194932  26.63223457      49625 17843.651810 4913.347209  26.23249321          0          0          0   0.453424  -1.139757  -0.925697  -0.036536   0.631968   2.748610   0.231836   9.597866  14.790565  30.439878  24.854935  40.564238   0.345383   7.794980   0.498182   0.509091   0.492855   0.269555      49625
        33     195514      2.09604859 2715.79223633   1.1112e+10   2.3146e+09   3.8438e+11   6.6473e+07   1.3493e+10   3.95090000   0.00336130 12023.840000 4923.197502 1084.90075684      49626 12023.425214 4923.616667 1080.94018810          0          0          0   0.526209  -1.559255  -0.274703  -0.022790   2.511479   2.911779   0.393190   7.607798  16.121573 1082.110562  97.688317  78.787036   1.176058   6.948959   0.338658   0.292135   0.196213   0.114842      49626
        73     637977      0.40679771 168.39535522   3.8147e+07   5.7421e+08   7.9013e+10    1189900.0   6.1354e+08   0.01140000   0.00000023 11992.160000 4941.917522 134.50042725      49627 11990.546757 4937.057162 107.19736921          0          0          0   0.580228  -1.378959  -0.132253   0.055750   0.363130   2.864181   0.029472  12.713876  42.644104 154.470629  71.655975  72.726904   1.091708  14.088278   0.471920   0.458333   0.892605   0.489699      49627
        24     256716      3.36079311  22.00684738   1.0314e+08   5.5446e+08   3.9205e+10          0.0    6.576e+08   0.17120000   0.00000000 18247.521720 4912.754565  14.87426949      49628 18252.123557 4914.105608  19.10830907          0          0          0   0.440180  -1.510200  -0.734538  -0.101139   0.476747   2.371146  -0.117294   6.172409  12.847025  26.396628  44.611184  22.977101   0.666323   5.818813   0.240316   0.272727   0.000000   0.131637      49628
        62     499112      0.61564058 8587.09375000   3.5649e+09   1.7432e+09   2.3511e+11   1.3744e+07   5.3219e+09   1.09330000   0.00041834 18220.641698 4949.714644 5649.06884766      49629 18220.598664 4949.917304 5791.48495953          0          0          0   0.531109  -1.697674  -0.154523  -0.037179   5.182699   2.980062   0.245105   8.656724  19.360218 5725.997631 144.400337 119.806132   1.165950   9.901753   1.077638   0.076190   0.062414   0.078540      49629
        62      52169      0.64999384 2083.87329102   1.0603e+09          0.0    8.796e+09    3325400.0   1.0636e+09   0.00000000   0.00000000 18254.721726 4952.714617 965.39373779      49630 18256.645892 4953.800745 964.04706813          0          0          0   0.536542  -1.869650  -0.008450  -0.055705   1.542433   3.124241   0.343880  12.231713  25.576355 950.641933 120.126377 119.492303   1.342202  12.544191   1.070071   0.002857   0.000000   0.030418      49630
        27      78419      2.74522066 5000.07324219   2.3414e+10   5.1692e+09   9.8579e+11   4.5117e+07   2.8628e+10  14.49520000   0.00523790 18186.801671 4965.554698 2309.91577148      49632 18186.711547 4967.237064 2038.89222921          0          0          0   0.623634  -1.922247   0.459106   0.023205   3.182371   3.766740   0.479361   7.085179  17.406542 2008.802555 125.440106 110.826720   2.196411   7.089695   1.191135   0.148825   0.085611   0.025221      49632
        42     312517      1.38846862 2515.09667969   3.5953e+09   3.0201e+09   5.2929e+11    5951700.0   6.6214e+09   4.06130000   0.00085822 18099.921601 4985.594806 1419.87182617      49633 18099.293747 4985.809879 1291.87663252          0          0          0   0.501835  -1.439573  -0.478292  -0.030284   6.154891   2.516481   0.175376   3.240472   5.546805 1100.428269  92.691246 116.902063   1.222364   4.040039   0.580433   0.000000   0.000000   0.197383      49633
        42     312518      1.38848650 868.38269043   1.0517e+09   1.4325e+09   1.2968e+10    2003400.0   2.4862e+09   1.46460000   0.00018034 18117.801615 5009.474824 606.13415527      49634 18119.850421 5004.322833 713.54908425          0          0          0   0.540929  -1.649101  -0.139572  -0.020705   2.987828   2.795160   0.332888   8.560854  13.816479 622.850135 111.428469 130.912430   1.078293   4.154467   0.761976   0.039301   0.012511   0.142989      49634
        27      92072      2.84855342 4450.80078125   2.7377e+10   3.9621e+09   8.3095e+11   1.9497e+08   3.1534e+10  16.20350000   0.00775150 17990.601517 5014.634946 2108.71215820      49635 17990.740682 5014.945486 2276.43781802          0          0          0   0.548229  -1.523730  -0.190320   0.003948   4.474757   2.821274   0.265451   5.657353  12.191609 2181.249004 111.198493  96.250628   1.199353   5.620398   0.704018   0.068182   0.000000   0.155044      49635
        45     357650      1.25585318 1441.37182617    1.985e+09   3.4604e+09   3.0745e+11    7065900.0   5.4524e+09   0.74420000   0.00014784 18036.801552 5037.314937 766.43072510      49637 18043.117335 5040.617573 523.66778551          0          0          0   0.607860  -1.182120  -0.131884   0.110467   0.826809   2.180560   0.903219  20.879997  47.518057 549.708363 121.683645 118.598447   1.480336  19.412027   0.535322   0.400000   0.643438   0.378599      49637
        82     756589      0.22590554  53.65034866    3724900.0   2.4415e+08   2.7469e+10          0.0   2.4787e+08   0.00000000   0.00000000 2048.233052 4964.110177  43.09221268      49642 2064.580093 4978.963020  26.14322065          0          0          0   0.508923  -1.318632  -0.527019  -0.006456   0.564262   2.492739   0.784776   8.631426  14.760049  30.438578  41.315013  35.471088   0.434399   6.304928   0.279801   0.405405   0.354845   0.178809      49642
